subject_area,subject_area_code
Multidisciplinary,1049
 Infectious Diseases,673
Medicine (all),663
Chemistry (all),655
 Electrical and Electronic Engineering,634
 Computer Science Applications,622
 Materials Chemistry,562
 Organic Chemistry,533
 Computer Networks and Communications,529
Materials Science (all),525
 Energy Engineering and Power Technology,498
 Condensed Matter Physics,494
" Public Health, Environmental and Occupational Health",491
Analytical Chemistry,477
 Chemical Engineering (all),461
 Physical and Theoretical Chemistry,454
 Molecular Biology,442
Nuclear and High Energy Physics,421
 Mechanical Engineering,416
 Mechanics of Materials,415
 Biochemistry,384
 Materials Science (all),382
 Polymers and Plastics,367
 Drug Discovery,357
 Engineering (all),345
"Ecology, Evolution, Behavior and Systematics",336
"Renewable Energy, Sustainability and the Environment",335
Veterinary (all),324
Biotechnology,323
Surgery,322
" Renewable Energy, Sustainability and the Environment",315
 Pharmaceutical Science,314
 Pollution,314
Food Science,312
Environmental Engineering,311
Catalysis,310
 Fuel Technology,306
 Computer Vision and Pattern Recognition,301
Chemical Engineering (all),294
 Immunology,291
Artificial Intelligence,290
Engineering (all),290
 Instrumentation,287
Immunology and Allergy,287
 Pharmacology (medical),284
 Waste Management and Disposal,276
 Environmental Chemistry,267
 Hardware and Architecture,266
 Plant Science,266
 Information Systems,265
Physics and Astronomy (all),264
 Neurology (clinical),258
"Electronic, Optical and Magnetic Materials",251
 Chemistry (all),250
Pharmacology,246
 Building and Construction,245
 Industrial and Manufacturing Engineering,243
Microbiology,243
 Process Chemistry and Technology,239
 Information Systems and Management,237
 Animal Science and Zoology,236
Education,233
 Spectroscopy,226
 Pharmacology,223
" Surfaces, Coatings and Films",223
"Biochemistry, Genetics and Molecular Biology (all)",223
Civil and Structural Engineering,216
Biochemistry,213
" Health, Toxicology and Mutagenesis",209
 Cancer Research,207
Software,206
" Management, Monitoring, Policy and Law",203
 Genetics,198
 Molecular Medicine,198
 Human-Computer Interaction,196
 Control and Optimization,194
 Environmental Science (all),194
 Strategy and Management,190
Dentistry (all),190
 Microbiology (medical),188
"Pediatrics, Perinatology and Child Health",188
 Veterinary (all),183
 Artificial Intelligence,181
Environmental Science (all),181
Social Sciences (all),177
"Public Health, Environmental and Occupational Health",173
" Biochemistry, Genetics and Molecular Biology (all)",169
Health Policy,168
 Biomedical Engineering,167
 Cell Biology,166
 Inorganic Chemistry,166
Computer Science (all),164
Oncology,160
 Gastroenterology,157
 Economics and Econometrics,155
"Geography, Planning and Development",153
Neurology,153
 Physics and Astronomy (miscellaneous),150
" Radiology, Nuclear Medicine and Imaging",150
Molecular Medicine,150
Hematology,148
 Metals and Alloys,147
" Safety, Risk, Reliability and Quality",146
 Aquatic Science,144
 Ecology,143
 Agricultural and Biological Sciences (all),142
 Environmental Science (miscellaneous),142
 Physics and Astronomy (all),141
Pharmaceutical Science,139
Engineering (miscellaneous),137
Medicine (miscellaneous),135
Nephrology,135
 Biomaterials,133
 Signal Processing,133
 Software,131
" Atomic and Molecular Physics, and Optics",129
 Psychiatry and Mental Health,129
 Education,128
 Nutrition and Dietetics,128
Immunology,127
 Chemistry (miscellaneous),126
" Geography, Planning and Development",126
Animal Science and Zoology,126
 Linguistics and Language,125
Neuroscience (all),124
 Applied Microbiology and Biotechnology,123
Computer Networks and Communications,122
Parasitology,121
 Immunology and Microbiology (all),120
 Orthopedics and Sports Medicine,119
 Geotechnical Engineering and Engineering Geology,118
Bioengineering,118
Control and Systems Engineering,118
Cardiology and Cardiovascular Medicine,117
 Oncology,116
Hepatology,116
Ophthalmology,116
Business and International Management,115
 Agricultural and Biological Sciences (miscellaneous),113
Computer Science (miscellaneous),113
 Virology,111
Aquatic Science,111
 Applied Mathematics,110
Dermatology,109
 Cellular and Molecular Neuroscience,107
 Engineering (miscellaneous),107
 Dentistry (all),106
 Water Science and Technology,103
Epidemiology,103
Otorhinolaryngology,103
Computer Science Applications,101
 Bioengineering,100
 Earth and Planetary Sciences (all),98
Gastroenterology,98
 Urban Studies,97
Chemical Engineering (miscellaneous),97
" Economics, Econometrics and Finance (all)",96
Energy (all),94
 Electrochemistry,93
"Radiology, Nuclear Medicine and Imaging",92
 Clinical Biochemistry,91
 Sociology and Political Science,91
Nursing (all),91
 Agronomy and Crop Science,90
" Ecology, Evolution, Behavior and Systematics",89
 Civil and Structural Engineering,88
Environmental Chemistry,88
 Social Sciences (miscellaneous),87
Agricultural and Biological Sciences (all),87
 Complementary and Alternative Medicine,86
 Food Science,86
" Pharmacology, Toxicology and Pharmaceutics (all)",84
 Health Policy,81
 Insect Science,81
Management Information Systems,81
Polymers and Plastics,80
 Physiology (medical),79
"Endocrinology, Diabetes and Metabolism",79
 Space and Planetary Science,78
Arts and Humanities (all),78
Infectious Diseases,78
" Business, Management and Accounting (all)",77
 Modeling and Simulation,77
 Energy (all),76
 Mathematics (all),76
 Soil Science,76
Microbiology (medical),76
Pathology and Forensic Medicine,76
 Otorhinolaryngology,75
Astronomy and Astrophysics,75
Ceramics and Composites,75
 Nature and Landscape Conservation,72
Structural Biology,72
 Microbiology,71
 Paleontology,71
 Social Sciences (all),71
Mathematics (all),71
Obstetrics and Gynecology,71
 Arts and Humanities (miscellaneous),70
Physiology,70
Biophysics,69
Language and Linguistics,69
 Endocrinology,68
 Genetics (clinical),68
 Health (social science),68
Geotechnical Engineering and Engineering Geology,68
Energy Engineering and Power Technology,67
Psychiatry and Mental Health,67
Immunology and Microbiology (all),66
Organic Chemistry,66
 Computer Science (all),65
 Fluid Flow and Transfer Processes,65
 Management Science and Operations Research,65
 Surfaces and Interfaces,65
Orthopedics and Sports Medicine,65
Toxicology,65
 Management of Technology and Innovation,64
Oceanography,64
 Language and Linguistics,63
 Development,62
Critical Care and Intensive Care Medicine,62
Molecular Biology,62
 Colloid and Surface Chemistry,61
 Geology,61
 Political Science and International Relations,61
 Health Informatics,60
Health (social science),60
Instrumentation,60
 Biological Psychiatry,59
 History,59
Internal Medicine,59
 Energy (miscellaneous),58
 Environmental Engineering,58
Pollution,58
 Physiology,57
Information Systems,57
"Physical Therapy, Sports Therapy and Rehabilitation",57
 Literature and Literary Theory,56
 Transportation,56
Genetics,56
Neurology (clinical),56
" Electronic, Optical and Magnetic Materials",55
Complementary and Alternative Medicine,55
Condensed Matter Physics,55
 Cardiology and Cardiovascular Medicine,54
Finance,54
Social Psychology,54
 Oral Surgery,53
" Endocrinology, Diabetes and Metabolism",52
 Materials Science (miscellaneous),52
Plant Science,51
Psychology (all),51
 Geriatrics and Gerontology,50
 Obstetrics and Gynecology,50
 Finance,49
 Immunology and Microbiology (miscellaneous),49
 Rehabilitation,49
Oral Surgery,49
 Dermatology,48
 Earth and Planetary Sciences (miscellaneous),48
 Nuclear Energy and Engineering,48
Cultural Studies,48
Earth and Planetary Sciences (all),48
"Economics, Econometrics and Finance (all)",48
"Safety, Risk, Reliability and Quality",48
Statistics and Probability,48
 Control and Systems Engineering,47
Agronomy and Crop Science,47
Electrical and Electronic Engineering,47
 Histology,46
Economics and Econometrics,46
Pulmonary and Respiratory Medicine,46
Theoretical Computer Science,45
 Neurology,44
Mechanics of Materials,44
 Ceramics and Composites,43
 Computational Mathematics,43
"Business, Management and Accounting (all)",43
 Ocean Engineering,42
 Urology,42
 Behavioral Neuroscience,41
 Biophysics,41
 Filtration and Separation,41
 Media Technology,41
 Nephrology,41
" Physical Therapy, Sports Therapy and Rehabilitation",40
" Statistics, Probability and Uncertainty",40
 Toxicology,40
 Marketing,39
 Mathematical Physics,39
 Multidisciplinary,39
Geology,39
 Anthropology,38
 Biochemistry (medical),38
 Health Professions (miscellaneous),38
 Medicine (miscellaneous),38
 Pulmonary and Respiratory Medicine,37
 Transplantation,37
Radiological and Ultrasound Technology,37
 Organizational Behavior and Human Resource Management,36
Architecture,36
"Business, Management and Accounting (miscellaneous)",36
Virology,36
 Automotive Engineering,35
 Geochemistry and Petrology,35
Modeling and Simulation,35
Signal Processing,35
Sociology and Political Science,35
 Architecture,34
 Computer Graphics and Computer-Aided Design,34
Conservation,34
Forestry,34
 Hematology,33
Anatomy,33
Building and Construction,33
Pharmacy,33
 Chemical Engineering (miscellaneous),32
 Cognitive Neuroscience,32
 Law,32
 Veterinary (miscellaneous),32
Physics and Astronomy (miscellaneous),32
Surfaces and Interfaces,32
 Library and Information Sciences,30
 Music,30
 Safety Research,30
Global and Planetary Change,30
Water Science and Technology,30
 Aerospace Engineering,29
 Decision Sciences (miscellaneous),29
Biomedical Engineering,29
Development,29
Orthodontics,29
Physical and Theoretical Chemistry,29
Visual Arts and Performing Arts,29
Waste Management and Disposal,29
 Computer Science (miscellaneous),28
 Developmental Biology,28
" Pharmacology, Toxicology and Pharmaceutics (miscellaneous)",28
Accounting,28
Biomaterials,28
Clinical Psychology,28
Drug Discovery,28
Radiation,28
Small Animals,28
 Applied Psychology,27
 Computational Theory and Mathematics,27
 Pathology and Forensic Medicine,27
"Atomic and Molecular Physics, and Optics",27
Control and Optimization,27
Rheumatology,27
 Critical Care and Intensive Care Medicine,26
 Earth-Surface Processes,26
 Horticulture,26
Analysis,26
Anesthesiology and Pain Medicine,26
 Dentistry (miscellaneous),25
Automotive Engineering,25
Ecology,25
Geriatrics and Gerontology,25
Horticulture,25
" Biochemistry, Genetics and Molecular Biology (miscellaneous)",24
 Food Animals,24
 Medical Laboratory Technology,24
Industrial and Manufacturing Engineering,24
 Atmospheric Science,23
 Ecological Modeling,23
 Equine,23
 Health Information Management,23
 Statistics and Probability,23
 Surgery,23
" Tourism, Leisure and Hospitality Management",23
Food Animals,23
Fuel Technology,23
 Communication,22
Clinical Biochemistry,22
Communication,22
"Economics, Econometrics and Finance (miscellaneous)",22
Insect Science,22
Periodontics,22
Pharmacology (medical),22
 Anesthesiology and Pain Medicine,21
 Visual Arts and Performing Arts,21
Emergency Medicine,21
Strategy and Management,21
 Global and Planetary Change,20
 History and Philosophy of Science,20
 Immunology and Allergy,19
 Sensory Systems,19
Computational Mechanics,19
Demography,19
Materials Science (miscellaneous),19
Geophysics,18
Physiology (medical),18
Statistical and Nonlinear Physics,18
Transplantation,18
Urology,18
 Algebra and Number Theory,17
 Cultural Studies,17
 Discrete Mathematics and Combinatorics,17
" Economics, Econometrics and Finance (miscellaneous)",17
 Medicine (all),17
Reproductive Medicine,17
 Arts and Humanities (all),16
 Clinical Psychology,16
Algebra and Number Theory,16
Computer Vision and Pattern Recognition,16
Geochemistry and Petrology,16
Health Informatics,16
Human-Computer Interaction,16
"Pharmacology, Toxicology and Pharmaceutics (all)",16
 Archeology,15
 Experimental and Cognitive Psychology,15
 Psychology (all),15
Chemistry (miscellaneous),15
Ecological Modeling,15
History,15
Neuropsychology and Physiological Psychology,15
 Advanced and Specialized Nursing,14
 Developmental and Educational Psychology,14
 Numerical Analysis,14
 Ophthalmology,14
 Religious Studies,14
Leadership and Management,14
Social Sciences (miscellaneous),14
 Public Administration,13
Mechanical Engineering,13
Nuclear Energy and Engineering,13
Spectroscopy,13
 Biotechnology,12
 Business and International Management,12
" Business, Management and Accounting (miscellaneous)",12
 Endocrine and Autonomic Systems,12
Anthropology,12
Computer Graphics and Computer-Aided Design,12
Marketing,12
Religious Studies,12
 Accounting,11
 Acoustics and Ultrasonics,11
 Catalysis,11
 Computational Mechanics,11
 Epidemiology,11
 Gerontology,11
 Maternity and Midwifery,11
 Occupational Therapy,11
 Periodontics,11
 Structural Biology,11
 Theoretical Computer Science,11
Complementary and Manual Therapy,11
Experimental and Cognitive Psychology,11
Hardware and Architecture,11
Human Factors and Ergonomics,11
 Archeology (arts and humanities),10
 Computers in Earth Sciences,10
 Geometry and Topology,10
 Geophysics,10
 Hepatology,10
 Pediatrics,10
" Pediatrics, Perinatology and Child Health",10
 Social Psychology,10
 Stratigraphy,10
Aging,10
Agricultural and Biological Sciences (miscellaneous),10
Atmospheric Science,10
Earth-Surface Processes,10
Health Professions (miscellaneous),10
Transportation,10
 Aging,9
 Community and Home Care,9
 Developmental Neuroscience,9
 Philosophy,9
 Radiological and Ultrasound Technology,9
Applied Microbiology and Biotechnology,9
Computational Mathematics,9
Environmental Science (miscellaneous),9
Inorganic Chemistry,9
Linguistics and Language,9
Logic,9
Organizational Behavior and Human Resource Management,9
 Chemical Health and Safety,8
 Emergency Medicine,8
 Life-span and Life-course Studies,8
 Neuroscience (all),8
 Nursing (miscellaneous),8
 Radiation,8
Health Professions (all),8
Management of Technology and Innovation,8
Management Science and Operations Research,8
Public Administration,8
Urban Studies,8
 Logic,7
 Medical and Surgical Nursing,7
Decision Sciences (miscellaneous),7
Developmental Biology,7
Soil Science,7
"Tourism, Leisure and Hospitality Management",7
 Astronomy and Astrophysics,6
 Mathematics (miscellaneous),6
 Rheumatology,6
Applied Psychology,6
Cell Biology,6
Dentistry (miscellaneous),6
Endocrinology,6
Information Systems and Management,6
Neuroscience (miscellaneous),6
Philosophy,6
" Issues, Ethics and Legal Aspects",5
 Oncology (nursing),5
 Psychology (miscellaneous),5
Archeology (arts and humanities),5
Community and Home Care,5
Computational Theory and Mathematics,5
Discrete Mathematics and Combinatorics,5
Fundamentals and Skills,5
Law,5
Library and Information Sciences,5
Metals and Alloys,5
"Pharmacology, Toxicology and Pharmaceutics (miscellaneous)",5
Rehabilitation,5
 Analytical Chemistry,4
 Nuclear and High Energy Physics,4
 Reproductive Medicine,4
Arts and Humanities (miscellaneous),4
Behavioral Neuroscience,4
Cognitive Neuroscience,4
Decision Sciences (all),4
Gender Studies,4
Genetics (clinical),4
Gerontology,4
Pediatrics,4
 Assessment and Diagnosis,3
 Dental Assisting,3
 Dental Hygiene,3
 Economic Geology,3
 Oceanography,3
 Psychiatric Mental Health,3
 Speech and Hearing,3
"Biochemistry, Genetics and Molecular Biology (miscellaneous)",3
Developmental and Educational Psychology,3
History and Philosophy of Science,3
Numerical Analysis,3
Ocean Engineering,3
Process Chemistry and Technology,3
Psychiatric Mental Health,3
Research and Theory,3
"Surfaces, Coatings and Films",3
 Care Planning,2
 Industrial Relations,2
 Leadership and Management,2
 Parasitology,2
 Pharmacy,2
 Statistical and Nonlinear Physics,2
Advanced and Specialized Nursing,2
Applied Mathematics,2
Cellular and Molecular Neuroscience,2
Dental Hygiene,2
Earth and Planetary Sciences (miscellaneous),2
Fluid Flow and Transfer Processes,2
Industrial Relations,2
Literature and Literary Theory,2
Mathematical Physics,2
Mathematics (miscellaneous),2
Media Technology,2
Music,2
Nutrition and Dietetics,2
Oncology (nursing),2
Podiatry,2
Safety Research,2
Sensory Systems,2
 Anatomy,1
 Critical Care Nursing,1
 Emergency Nursing,1
 Forestry,1
 Health Professions (all),1
 Human Factors and Ergonomics,1
 Internal Medicine,1
 Management Information Systems,1
 Museology,1
 Neuropsychology and Physiological Psychology,1
 Nursing (all),1
 Optometry,1
 Orthodontics,1
Acoustics and Ultrasonics,1
Aerospace Engineering,1
Cancer Research,1
Chiropractics,1
Critical Care Nursing,1
Developmental Neuroscience,1
Electrochemistry,1
Equine,1
Family Practice,1
Geometry and Topology,1
"Health, Toxicology and Mutagenesis",1
Histology,1
Life-span and Life-course Studies,1
Maternity and Midwifery,1
Nature and Landscape Conservation,1
Nursing (miscellaneous),1
Paleontology,1
Political Science and International Relations,1
Space and Planetary Science,1
Speech and Hearing,1
"Statistics, Probability and Uncertainty",1
Stratigraphy,1
Veterinary (miscellaneous),1
